#,Company,Symbol,Portfolio%
142,Fedex Corporation,FDX,0.15%
143,Pnc Financial Services Group,PNC,0.15%
144,Emerson Electric Co.,EMR,0.15%
145,Aon Plc Class A,AON,0.15%
146,Moody's Corporation,MCO,0.14%
147,Constellation Energy Corporation,CEG,0.14%
148,Paccar Inc,PCAR,0.14%
149,Marriot International Class A,MAR,0.14%
150,Nxp Semiconductors N.v.,NXPI,0.14%
151,Cintas Corp,CTAS,0.14%
152,"Roper Technologies, Inc.",ROP,0.13%
153,"Motorola Solutions, Inc.",MSI,0.13%
154,Valero Energy Corporation,VLO,0.13%
155,Capital One Financial,COF,0.13%
156,"Ecolab, Inc.",ECL,0.13%
157,Norfolk Southern Corp.,NSC,0.13%
158,Edwards Lifesciences Corp,EW,0.12%
159,"American International Group, Inc.",AIG,0.12%
160,General Motors Company,GM,0.12%
161,"Air Products & Chemicals, Inc.",APD,0.12%
162,"Dexcom, Inc.",DXCM,0.12%
163,Truist Financial Corporation,TFC,0.12%
164,Welltower Inc.,WELL,0.12%
165,3m Company,MMM,0.12%
166,Arthur J. Gallagher & Co.,AJG,0.12%
167,"Autozone, Inc.",AZO,0.12%
168,Ford Motor Company,F,0.12%
169,Hilton Worldwide Holdings Inc.,HLT,0.12%
170,"The Travelers Companies, Inc.",TRV,0.11%
171,Copart Inc,CPRT,0.11%
172,Williams Companies Inc.,WMB,0.11%
173,"Simon Property Group, Inc.",SPG,0.11%
174,"Oneok, Inc.",OKE,0.11%
175,Microchip Technology Inc,MCHP,0.11%
176,Autodesk Inc,ADSK,0.11%
177,Carrier Global Corporation,CARR,0.11%
178,Kimberly-Clark Corp.,KMB,0.11%
179,The Allstate Corporation,ALL,0.11%
180,Ross Stores Inc,ROST,0.11%
181,Sempra,SRE,0.11%
182,"American Electric Power Company, Inc.",AEP,0.11%
183,"United Rentals, Inc.",URI,0.11%
184,D.R. Horton Inc.,DHI,0.10%
185,Aflac Inc.,AFL,0.10%
186,Te Connectivity Ltd,TEL,0.10%
187,Occidental Petroleum Corporation,OXY,0.10%
188,Johnson Controls International Plc,JCI,0.10%
189,"Metlife, Inc.",MET,0.10%
190,Realty Income Corporation,O,0.10%
191,Iqvia Holdings Inc.,IQV,0.10%
192,Bank of New York Mellon Corporation,BK,0.10%
193,Newmont Corporation,NEM,0.10%
194,Hess Corporation,HES,0.10%
195,Nucor Corporation,NUE,0.10%
196,"Fidelity National Information Services, Inc.",FIS,0.10%
197,"Dominion Energy, Inc",D,0.10%
198,"Constellation Brands, Inc.",STZ,0.10%
199,"W.W. Grainger, Inc.",GWW,0.10%
200,Lululemon Athletica Inc.,LULU,0.10%
201,"Digital Realty Trust, Inc.",DLR,0.10%
202,Public Storage,PSA,0.10%
203,"Ametek, Inc.",AME,0.10%
204,Crown Castle Inc.,CCI,0.10%
205,"Fortinet, Inc.",FTNT,0.10%
206,"Ameriprise Financial, Inc.",AMP,0.10%
207,Idexx Laboratories Inc,IDXX,0.10%
208,Agilent Technologies Inc.,A,0.10%
209,Centene Corporation,CNC,0.10%
210,"Prudential Financial, Inc.",PRU,0.09%
211,Humana Inc.,HUM,0.09%
212,"General Mills, Inc.",GIS,0.09%
213,Ge Vernova Inc.,GEV,0.09%
214,Cummins Inc.,CMI,0.09%
215,Otis Worldwide Corporation,OTIS,0.09%
216,Dow Inc.,DOW,0.09%
217,Monster Beverage Corporation,MNST,0.09%
218,"Cencora, Inc.",COR,0.09%
219,"L3harris Technologies, Inc.",LHX,0.09%
220,"Yum! Brands, Inc.",YUM,0.09%
221,Old Dominion Freight Line,ODFL,0.09%
222,Paychex Inc,PAYX,0.09%
223,Republic Services Inc.,RSG,0.09%
224,Lennar Corporation Class A,LEN,0.09%
225,"Corteva, Inc.",CTVA,0.09%
226,Sysco Corporation,SYY,0.09%
227,Fastenal Co,FAST,0.09%
228,"Super Micro Computer, Inc.",SMCI,0.09%
229,Exelon Corporation,EXC,0.09%
